               0       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29      30      31      32      33      34      35      36      37      38      39      40      41      42      43      44      45      46      47      48      49      50      51      52      53      54      55      56      57      58      59      60      61      62      63      64      65      66      67      68      69      70      71      72      73      74      75      76      77      78      79      80      81      82      83      84      85      86      87      88      89      90      91      92      93      94      95      96      97      98      99     100     101     102     103     104     105     106     107     108     109     110     111     112     113     114     115     116     117     118     119     120     121     122     123     124     125     126     127
      20      -4      38      14     -66       4      -7      31     -10     -34       4      22       6     -12      15      33    -108      79      33      46     -95      56     -45      18     -15     -90     109      -2      18     -36     -84      82       7     -23     -20     -42      57       4      14     -86      18      -9      -4      54     -25     -21      16       1      17      45     -18      -8       2       0      -1     -27      31      15       3       8      17      -6       9     -14     -21      25      44     -16      16       0     -35      21      -7       6      21      -9       8     -36       5      43      -5       1     -10     -17      -5     -13       6      12      11      -2      -5       0     -16     -11       2      -1      13      -2       0      -8     -20      11      16      14       5     -16     -15     -10       3       2       3       3       2       1       0       2      -3       0       5     -11      -3      -2      -5       2       4       8       1     -11      -1
      21      32     -26     -33      33      26     -27      22      -2     -26     -39     -26      42     -10      -1      58     -78       8      34     -64     -61       0      89     -41     -37      48      37     -80     -33     -42      44       0      -1       0     -22      11      53     -35     -51      -5     -18      94       0     -13       0      23      -5     -52      44     -38       3      30      -6       8      -1      12     -27     -10       8      12      -2       0       2     -32       8      -2       3       5     -27      -2      36     -19       1      15     -31      12      13     -16      35     -16      -7      13     -27      12      15       3      28     -10      -1      -3      -3      15       0       3      -3      -5       9       3       4      -6       8      -5      -7       7     -14      -9       4       7      17       6       3      -7      -8     -12      -2       7       0       0       7       4       6       4      -1      -8      -3       1       6       3      -9
      22      58     -58      50      43       1     -26      38     -45      11      -9      89     -55      27     -88      21      27      37    -127      59     -74       1      63     -32     -93      82     -44    -135      63      28      -8     -41     -41     -27      67      12     -53     -93     104      -6      36       4     -73      63       9      36     -43       5      32      27      49     -14     -10     -38      22       7       0      40       3      -7       2     -27       1      30      -2       8       4     -11       9       0     -15     -11       1       3      17     -10       4      26     -27     -23       0     -11      36       7      -8      16     -39     -19      10     -12      16       0       2      20      -5      -8     -10     -15      -3      11      18       1      -9      -9       6      -2       2       2      -3      -1       0       5       2       2      -6      -3       8      -3       0      -2      -8       0       4      -2      -2      -4       0      12      -3
      23     -47      35      40      -4     -96      27      24     -37       6       9      62     -33     -41      85      -9     -27      17     -14      74      64      40     -62      -2     -68      26      -6     142      34      -2     -69     -57      96      10     -11     -14     -17      10      73     -19     -52      -6       9      23       6     -35      45      55     -55     -32      -6      -1      29      60     -56      18       0     -31      12      -1      26       7      -4     -21       7     -32     -12      23      23      36     -26     -25       0     -12      -5      15       5       8       8      -8       3     -20       0       5       8      18      10     -13     -21      12      -4      10      30     -20       2       3     -12       5       4       1       4       1       0     -12       1      13      -3       0       4      -3      -6     -10       8       9       7       2      -4       0      -8      -7      -3      -4       7       9       2       8      -4     -19       2
      24     -14     -30      42     -52      -2      12     -14      12     -15     -48      12       4     -30     -68      24      10     -71       4      -8     -33     -83     -21     -15      47      16     -19     -20    -110      -5      43      51       4     -58    -103      19     139       1     -50      15     -33      38      59     -29      -8      40      18     -22      10     -17       8      27      24      -9      14      -4     -36      31      -7      18      13     -11     -10      10       6      16      -7     -20       5     -32      33      21     -12      11      -8       9      14     -16     -18      19       1       2      10     -16      -1     -18       0      23       7       7      -1     -13      -9      -6      -1      -2       6      17       1      -7     -17      -3       9     -17       2       1      12      11      -9       8       3      -5     -12      -9       5       1       5       0      -2       5       8       2       0       0       0     -11     -10       6      12
      25      73     -31     -34      67      48     -34       0       5     112     -78      45      -9      34      13       0      53      55     -86      59      -2      -5       1     141     -38       0      33     -44     -37      55      34     -67      41       4      91     -20      10     -53     -50      88     -18      35     -24     -12      22      -7      -2     -37      42      45     -13      17     -63     -16       8      31      10       5      -9     -44      15      -4     -15       6     -10       0      25      23     -33     -11      -6     -25      19      13       5      -5     -42       4      12       1      18      -5      -4       1      -3      -4       0      -1       2       0       4       1     -11      -3       9      -4       5       4      -7       2      -2      -6      10      10      -6     -12       2      -1       0      -6      -7       8       5       3       5      -3       4       0      -9      -2      -5       0       1       0       7       9       0      -4     -14
      26     -33      27     -28      -8     -10     -30     -35      49     -31     -31     -46      30      16     -23      30     -28     -20     -22      -7      44     -28      30      26     -88     -15     -23     114     -40      57       6       1     -30      43      41     -91      18      -8       8      92     -36      38     -40       9      49     -16      35     -51      27      -3       3     -22       9      43     -35       1      -9      31      20       7     -44       0      25       1      17      -7     -14     -12     -14       3      12      33      -5     -14      12     -12      11       3     -26      10      -2      20      14     -24       5     -21     -21      16      11      24      11     -10      -4      -2     -17       7       7      -3      14     -10     -11      -3      -8      12      15       2      -2      -1      -4      -2      -5       3      11      -5      -1       6      -9      -5       6       0       4       7      -2      -2      -4       0       4      -6      -1
      27     -47     -17      65      23      -8     -11      31      -8      22     -37      72     -12     -31      -7     -11      42     -52      20     102     -70     -33     -14      -9      30      26     -15      -1      28     -43       8      -6      14     -40      24     -40      43      76     -10     -29     -52      39     -19      53     -74     -43      60       7      24     -22     -34       2       4       7     -10      -6     -21     -20       5      -6      -4      23     -27     -22      13       0       4      -5      11       2     -36       1     -14      10      29     -13       4       1     -17      -9       2       0      -9      24       5      -3      35     -26      -9      -8     -31      18      -3       2      22      -8       1       0     -14       8      11     -10      -7     -12       3      12      -5      -1       7      -5       4       0      -9       5      -6      -3       6       2       5       0       1       0       0      -2      -9      -4       4      13       4
      28     -32      41      19     -14      -1     -27      62       2     -51      58      28     -32      30      12     -31     -33      68      35     -54       9      44     -21      -3      54      20     -72     105     -96      27       6      -9      41     -21      58       9      26     -42     -38       6      39      48     -30      36      -3     -22      29     -20       0     -29      68     -14     -32     -10     -20      45      22       2     -29       9     -22      14       0      -3       1     -28      -7      -2      22      21       9      -3     -31       6     -26       0      14      -3      41       0     -18       0     -34      10       9      -1       6     -10       2      -5      16       5      -6       8     -16       2       0     -16       9     -14       5      25      -1      11     -13     -10      -2     -17       1      12      12       7       5       0      -1      -5      -5       3      -1       7       7      -6       0      -2      -2       0      -1      10      10
      29     -32       0      18      11     -18      -8       4     -21      -3      13     -84     -10      41       3     -16      42     -21      -9     -33     -20      75     -51      -9      70     -76      15     -22      15      23     -10     -13      -5     -13      41     -32     -35      21      -7      28       7     -60     -20      43     -32      59     -76       0       5     -26       8     -17       8       3       9     -42       5     -34       3      11       3     -13       2      21     -12      25     -16     -21      -8     -17      24      21       4     -18     -10       2     -13      16      25     -17       2     -19       2      -8      -8      30     -14      24      13     -34      -9      -6       5      23       5       7      -2     -12       1      -7      -4       0      10       0      -4       4      -4       0       6      -4       5      -8     -11      -4      -8       4       1       2      12       3      -3      -5      -6       0       7      -4      -7       0      -3
      30      54     -26     -23      59      23     -18      36      21      24     -44       2      60      63     -57      29     -28      35     -38      -6      60      -5     -16      82     -75       7     -26      27      13      25     -54      57      34    -119      60     -31      17      16      53     -65       4      19      25     -46       9      -1     -17      45     -13      -6     -25      -5      -6      20       0       5     -11      10     -15     -30      26       2      22     -11     -16     -16      -3      46     -10      -6     -18     -17      26      16      12      18     -24     -19     -37      10      28      24      20     -30      -8     -15      -2      11     -10      23       0     -18       3     -20       6      12     -10      16      -2      -8       1     -13       1       9      -4      -5       2       9      -1      -1      -9      -1      16       1       6       8      -5       4     -10     -11      10      -2       0       3      -4      11      10      -7      -5
      31     -12       6     -26      -2     -19     -22     -50       7      34     -12     -28      38     -70      -5     -14     -19      48      18     -29      17      -8     -51      28      -6     -22      20       0      28     -23     -26      74     -93      21       2      30      -7     -14      17     -22       8       5      -7     -47      31      13     -18      16     -24     -32      16       7       0       5      -2     -48      14      26      -2       9       8     -27       3     -27      -3      25       8       2     -14      26      11     -12      18     -41       1      -5      26      17      -8      25     -35     -22      13       8      27       5      -3     -12     -14      16       0      18      10      -8       5     -30       5       5      -9      34      -3       3       0     -23      14      -3      -2       5      -8      -2       1      -5       1       1       0      -4       7       0      -4       1     -18       3      13       0      11      -8      -9      -3      -1
